TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Skn7,67,Lys20,-0.090534284,11704.78856,19.24510563,6.082512667,13.51481125
Skn7,50,Cwp2,-0.235408864,26033.2313,28.27684405,15.05557699,14.66806677
Skn7,70,Rho3,-0.022695932,10690.29807,14.47366907,1.560852575,13.38401446
Skn7,53,Cwp2,-0.482930085,26290.29594,28.55759165,28.44770657,14.68224276
Sko1,36,Ald6,0.12112793,8711.69217,16.31338894,-8.758482765,13.08873726
Sko1,30,Icy1,-0.03722224,2980.482354,6.583562489,2.547050223,11.54133012
Sko1,29,Icy1,0.0558946,2303.737125,5.036069419,-3.950348868,11.16976039
Sko1,54,Sed1,-0.015407528,5767.135412,13.20766276,1.062285945,12.49363918
Sko1,35,Fmp48,-0.013784414,7396.195478,13.2975229,0.95091276,12.85256764
Sok2,43,Rsb1,-0.279537324,14411.58566,17.45055032,17.61448127,13.81494146
Sok2,71,Tir3,-0.019853926,20722.1032,18.05618484,1.366743334,14.33888282
Sok2,91,Oca5,-0.688443922,11328.74922,18.26562395,37.94772205,13.46770096
Sok2,54,Sed1,-0.268457066,17656.56536,28.0009049,16.9793039,14.10791711
Sok2,31,YKL044W,-0.031781384,20105.8648,25.33526936,2.178830658,14.29532877
Sok2,89,YBL029C-A,-0.237658123,33681.92894,38.06411135,15.18790791,15.03968714
Sok2,57,YKL044W,-0.404696593,21556.82445,27.17403988,24.46048602,14.39585705
Ste12,47,Sim1,-0.193846614,4010.587413,7.83442151,12.5728433,11.96959784
Ste12,65,Kar4,-2.18054532,14591.28285,21.48796224,77.94076477,13.83281911
Ste12,96,Tec1,-1.540231539,29931.61176,53.24157046,65.61697314,14.86938235
Ste12,38,Pop3,-0.279869806,8239.506637,18.26200078,17.63346556,13.00834224
Ste12,61,Cdc6,-0.167167133,3130.542269,14.71001168,10.94102782,11.61219687
Ste12,37,Pcl2,-1.622765743,17345.62262,59.04163776,67.52876285,14.08228401
Ste12,64,Gpa1,-1.204482077,19169.53297,22.93804013,56.60749066,14.22652757
Stp1,42,Mup1,-2.206730908,73982.34882,58.09294605,78.33753848,16.17489348
Stp1,62,Snf11,-2.058122569,23818.42833,6.921425981,75.98716858,14.5397906
Stp1,95,Hem12,-1.532365638,129975.3133,38.01843364,65.4289971,16.98787811
Stp1,60,Asn1,-2.029085111,22477.3619,19.71746053,75.49896008,14.4561851
Stp1,54,Sed1,-0.424229292,23761.59487,6.904777503,25.4763259,14.53634405
Stp1,52,Bap3,-2.142858446,207556.2969,60.74457562,77.35692884,17.66314318
Stp3,66,Cip1,-0.032527623,1844.312514,8.626461972,2.229415916,10.84886742
Stp3,34,Faa1,0.238978008,2497.895682,9.780579391,-18.01563532,11.28649751
Stp3,84,Hxt2,-0.194833705,3452.603571,11.57698421,12.63264044,11.75346898
Stp3,56,Bdh2,-0.181509189,2784.021856,6.435594212,11.8219908,11.44295482
Stp3,67,Lys20,0.168613455,2308.468809,8.908355447,-12.39777329,11.17272052
Swi4,50,Cwp2,0.20253403,50733.60612,37.60453697,-15.07177658,15.63065409
Swi4,45,EXG1,0.020476561,20660.02429,3.765052788,-1.42944733,14.33455433
Swi4,54,Sed1,-0.104563958,13661.6145,13.22650417,6.991398979,13.73784037
Swi4,74,Aqr1,-0.220997694,9388.490601,7.390193693,14.20280984,13.19667752
Swi4,38,Pop3,0.277897427,9588.694364,7.550465033,-21.24266147,13.22711867
Swi4,73,Cap1,-0.929279002,11462.95214,8.394537223,47.48792905,13.48469102
Swi4,53,Cwp2,0.552973339,52557.3779,38.96108105,-46.7106232,15.68160568
Swi4,33,Cip1,-0.218246878,7036.725446,5.398457402,14.03906254,12.78068851
Swi5,48,Wtm1,0.065787665,11714.13131,17.31310283,-4.665622461,13.51596235
Swi5,94,Dse1,-0.063565384,5773.006364,16.83959581,4.310361729,12.4951071
Swi5,40,Rsm7,-1.145701027,2139.25365,1.397258363,54.80299836,11.06289184
Swi5,44,Amn1,-0.161890564,13703.76585,28.10678707,10.61470366,13.74228479
Swi5,31,YKL044W,-0.188837391,6719.834351,3.36553988,12.26875733,12.71420995
Swi5,77,Hog1,-0.081946597,11497.64283,2.89564059,5.521798718,13.4890505
Swi5,45,EXG1,-0.060962674,9773.769424,2.441888678,4.137576004,13.25469935
Tda9,29,Icy1,-0.213360375,6527.306479,6.873454669,13.74741351,12.67227206
Tda9,86,Hxt7,-0.217785505,7623.552296,8.959862634,14.01156786,12.89624768
Tda9,87,Hxk1,-0.411067538,12309.88664,12.96187353,24.79333321,13.58752986
Tda9,30,Icy1,-0.251892006,9814.107422,10.41827372,16.0205646,13.26064135
Tda9,36,Ald6,-0.492525425,49426.87152,38.03432384,28.92202054,15.59300797
Tda9,32,Gsy2,-0.179804285,10296.11364,3.218720764,11.71772488,13.32981226
Tda9,62,Snf11,0.000200669,11424.25139,13.51699369,-0.013910252,13.47981201
Tda9,69,Spi1,-0.258598292,11880.76584,22.84534747,16.41003232,13.53634022
Tda9,88,Usv1,0.030408669,12161.25618,9.255881504,-2.130138672,13.57000464
Tda9,72,Gph1,-0.132127671,6050.224083,4.536625337,8.751526509,12.56277286
Tec1,47,Sim1,-0.431212388,27954.99778,17.6172312,25.83617223,14.77081861
Tec1,65,Kar4,0.050908405,4258.101491,8.408986975,-3.591699222,12.05599462
Tec1,64,Gpa1,-0.110860787,24584.13337,14.62938327,7.396462371,14.58543988
Tec1,61,Cdc6,-0.168198496,7423.829596,10.10229543,11.00467211,12.85794788
Tec1,38,Pop3,-1.078596037,15700.08498,12.47311903,52.65106232,13.93848475
Tec1,96,Tec1,-1.496673132,153904.9622,53.17708655,64.56303714,17.23168022
Tec1,37,Pcl2,-1.630547951,119101.9411,64.10837263,67.70344813,16.8618374
Tod6,33,Cip1,0.038100479,1813.833308,9.569444917,-2.676105365,10.82482616
Tod6,45,EXG1,-0.056283112,2272.419234,0.649173389,3.826129412,11.1500133
Tod6,34,Faa1,0.017416674,2179.105482,8.925711062,-1.214548314,11.08952032
Tod6,30,Icy1,0.0118168,946.4063788,3.751549515,-0.822441793,9.886315987
Tos8,90,Cup9,0.016323313,6857.117576,17.80574613,-1.137870907,12.74338654
Tos8,33,Cip1,-0.287560822,5438.694235,14.04338621,18.07139371,12.4090446
Tos8,44,Amn1,-0.238591023,4312.305562,13.00408173,15.24273282,12.07424369
Tos8,43,Rsb1,-0.195551547,10011.33204,16.59095511,12.67610097,13.28934632
Tos8,34,Faa1,-0.06510617,8377.868565,13.8400633,4.412502945,13.03236754
