TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Met31,63,Ies5,-0.460001644,673.898265,5.651288485,27.30145697,9.396387001
Met31,95,Hem12,-0.966414118,354.6832974,2.108805646,48.82234738,8.470387583
Met31,42,Mup1,-0.921917893,567.4932758,3.310783784,47.21931033,9.148459488
Met31,31,YKL044W,-0.061938202,70.93665947,-1.073022592,4.202374786,6.148459488
Met31,79,Cho2,0.034843307,106.4049892,-0.495539229,-2.444555093,6.733421989
Mig3,87,Hxk1,-0.166853476,107.5589009,-1.001329614,10.92166338,6.748983109
Mig3,46,Hap4,0.119600424,59.75494497,-1.94527819,-8.643391676,5.900986202
Mig3,84,Hxt2,-0.252547449,59.75494497,-1.691375366,16.05870933,5.900986202
Mig3,74,Aqr1,-0.128411986,107.5589009,-0.880778007,8.51621165,6.748983109
Mig3,86,Hxt7,-0.101642113,0,-2.427675005,6.802840643,#NAME?
Mig3,29,Icy1,-0.153392155,286.8237359,1.939341525,10.08661247,8.164020608
Mig3,28,Cin5,0.115202716,71.70593396,-1.495480247,-8.312722732,6.164020608
Mig3,41,Ecm13,0.073343654,35.85296698,-2.140790099,-5.21523753,5.164020608
Mig3,85,Hxt4,0.049532762,35.85296698,-1.578590072,-3.492969225,5.164020608
Mig3,32,Gsy2,-0.061942883,143.4118679,-0.133722687,4.202685608,7.164020608
Mig3,57,YKL044W,-0.116493235,107.5589009,-1.016530693,7.757292465,6.748983109
Mig3,68,Suc2,0.105253472,155.3628569,-0.18933626,-7.568336447,7.279497825
Mig3,71,Tir3,-0.027941359,107.5589009,-1.002844291,1.918112931,6.748983109
Mot3,50,Cwp2,-1.275600734,1034.185462,16.90073316,58.69468709,10.01427921
Mot3,71,Tir3,-1.546111124,590.3814645,7.333985896,65.7568132,9.205503617
Mot3,55,Uth1,-0.974137747,2361.525858,42.67577433,49.09560054,11.20550362
Mot3,82,Wsc4,-0.923788818,846.8920318,7.481503995,47.28771336,9.726034245
Mot3,48,Wtm1,-0.502889237,289.0833378,2.930552075,29.4307901,8.175341647
Mot3,33,Cip1,-0.563745502,146.577467,-0.448397641,32.34565498,7.195519529
Msn2,32,Gsy2,-1.881239591,181.0406822,-0.121696784,72.85496198,7.500170116
Msn2,86,Hxt7,-0.689871218,0,-1.557603575,38.00908164,#NAME?
Msn2,72,Gph1,-0.899473902,80.46252542,-0.780069407,46.39178147,6.330245114
Msn2,88,Usv1,-1.363851853,160.9250508,-0.027450422,61.1456469,7.330245114
Msn2,56,Bdh2,-1.42052203,60.34689406,-1.020572871,62.64228888,5.915207615
Msn2,40,Rsm7,-0.928595921,181.0406822,0.158184131,47.46306,7.500170116
Msn2,66,Cip1,-0.678422601,140.8094195,-0.215605168,37.51519089,7.137600036
Msn2,78,Ego4,-0.960246077,100.5781568,-0.61594136,48.60307606,6.652173209
Msn2,69,Spi1,-0.735882193,60.34689406,-0.978241321,39.95492567,5.915207615
Msn2,30,Icy1,-0.356258785,100.5781568,-0.615796697,21.88122588,6.652173209
Msn2,87,Hxk1,-2.258330344,221.2719449,0.648854584,79.09862648,7.789676733
Nrg2,76,Crc1,-0.039413271,85.03880427,-0.986346918,2.694940346,6.410049406
Nrg2,57,YKL044W,-0.126733937,829.1283416,13.15565218,8.409741753,9.695451625
Nrg2,43,Rsb1,-0.072411073,4439.025583,54.18039085,4.895274792,12.11602731
Nrg2,81,Gpp1,0.015303303,80.78686406,-0.856608586,-1.066389996,6.336048825
Nrg2,89,YBL029C-A,-0.118635251,969.4423687,14.20765984,7.894146592,9.921011325
Nrg2,74,Aqr1,0.075349201,408.1862605,3.169176997,-5.361603012,8.673083812
Rap1,58,Frs2,-1.080955427,34459.40754,21.14542695,52.72843371,15.07261028
Rap1,81,Gpp1,-2.539717715,18624.78957,24.3097439,82.80236262,14.18493651
Rap1,50,Cwp2,-2.27019707,3412.837023,2.950720937,79.26984325,11.73675581
Reb1,74,Aqr1,-3.675284965,2209.912621,5.103095369,92.17239354,11.10977361
